#
#**************************************************************
#
#                       OGLE IV FIELDS
#
#**************************************************************
#
###############################################################
#
#   BULGE FIELDS
#
###############################################################
#
# Numbers given mark field centers.
# Width  (along RA)  of the fields are 01:23:00 degrees (maximal) 01:04:25 deg (minimal).
# Height (along DEC) of the fields are 01:14:10 degrees (maximal) 00:35:35 deg (minimal).
#
#  Name       RA[hr]      DEC[deg]       l[deg]       b[deg]     Epoch    RA_decimal   DEC_decimal    l_decimal     b_decimal  Prefix No
#
  BLG500     17:51:60    -28:36:35       0:59:60    -01:01:45   2000.0    17.8666111   -28.6097222     0.9999101    -1.0292688   BLG 500
  BLG501     17:51:56    -29:50:00     359:56:21    -01:38:24   2000.0    17.8654722   -29.8333333   359.9391945    -1.6399650   BLG 501
  BLG502     17:51:39    -33:32:15     356:43:00    -03:28:25   2000.0    17.8608333   -33.5375000   356.7167796    -3.4735285   BLG 502
  BLG503     17:51:34    -34:46:05     355:38:43    -04:04:59   2000.0    17.8594444   -34.7680556   355.6453151    -4.0830564   BLG 503
  BLG504     17:57:33    -27:59:40       2:08:57    -01:46:29   2000.0    17.9592500   -27.9944444     2.1490792    -1.7746737   BLG 504
  BLG505     17:57:34    -29:13:15       1:05:13    -02:23:20   2000.0    17.9593611   -29.2208333     1.0869505    -2.3890140   BLG 505
  BLG506     17:57:31    -30:27:23       0:00:37    -02:59:51   2000.0    17.9586111   -30.4563889     0.0103364    -2.9974258   BLG 506
  BLG507     17:57:30    -31:41:30     358:56:09    -03:36:36   2000.0    17.9583333   -31.6916667   358.9358963    -3.6100821   BLG 507
  BLG508     17:57:30    -32:55:20     357:51:57    -04:13:20   2000.0    17.9583333   -32.9222222   357.8659057    -4.2222410   BLG 508
  BLG509     17:57:30    -34:09:10     356:47:39    -04:49:59   2000.0    17.9583333   -34.1527778   356.7942280    -4.8329304   BLG 509
  BLG510     17:57:30    -35:23:00     355:43:14    -05:26:31   2000.0    17.9583333   -35.3833333   355.7206196    -5.4419341   BLG 510
  BLG511     18:03:02    -27:22:49       3:17:01    -02:31:19   2000.0    18.0504167   -27.3802778     3.2834889    -2.5219481   BLG 511
  BLG512     18:03:04    -28:36:39       2:12:56    -03:08:08   2000.0    18.0512500   -28.6108333     2.2154267    -3.1354799   BLG 512
  BLG513     18:03:06    -29:50:40       1:08:24    -03:44:36   2000.0    18.0515556   -29.8444444     1.1399474    -3.7432055   BLG 513
  BLG514     18:03:11    -31:04:27       0:04:29    -04:21:45   2000.0    18.0531944   -31.0741667     0.0747159    -4.3625820   BLG 514
  BLG515     18:03:15    -32:18:25     359:00:02    -04:58:27   2000.0    18.0541667   -32.3069444   359.0006510    -4.9740822   BLG 515
  BLG516     18:03:20    -33:32:15     357:55:44    -05:35:13   2000.0    18.0555556   -33.5375000   357.9289177    -5.5870263   BLG 516
  BLG517     18:03:25    -34:46:05     356:51:17    -06:11:51   2000.0    18.0569444   -34.7680556   356.8546991    -6.1975929   BLG 517
  BLG580     18:08:22    -25:32:20       5:28:34    -02:40:06   2000.0    18.1394444   -25.5388889     5.4762471    -2.6684109   BLG 580
  BLG518     18:08:26    -26:46:10       4:24:17    -03:16:34   2000.0    18.1405556   -26.7694444     4.4046481    -3.2760825   BLG 518
  BLG519     18:08:30    -28:00:00       3:19:54    -03:52:56   2000.0    18.1416667   -28.0000000     3.3315911    -3.8823276   BLG 519
  BLG520     18:08:36    -29:13:50       2:15:37    -04:29:36   2000.0    18.1433333   -29.2305556     2.2603328    -4.4932984   BLG 520
  BLG521     18:08:44    -30:27:40       1:11:26    -05:06:31   2000.0    18.1455556   -30.4611111     1.1904751    -5.1085513   BLG 521
  BLG573     18:08:54    -31:41:30       0:07:18    -05:43:39   2000.0    18.1483333   -31.6916667     0.1216059    -5.7276285   BLG 573
  BLG588     18:09:02    -32:55:20     359:02:48    -06:20:16   2000.0    18.1505556   -32.9222222   359.0466195    -6.3377435   BLG 588
